bizesNm,indsLclsNm,indsMclsNm,indsScnm,sigunguNm,sigunguDetailNm,adongNm,lnAdr,rdnAdr
레오하우스,숙박,일반 숙박,펜션,강원특별자치도,속초시,노학동,강원특별자치도 속초시 교동 908-7,강원특별자치도 속초시 만천7길 19-9
문창엄,소매,식료품 소매,채소/과일 소매업,강원특별자치도,춘천시,북산면,강원특별자치도 춘천시 북산면 청평리 666-1,강원특별자치도 춘천시 북산면 오봉산길 672
김원래치과의원,보건의료,의원,치과의원,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 희망리 369,강원특별자치도 홍천군 홍천읍 홍천로 321
박찬우365의원,보건의료,의원,내과/소아과 의원,강원특별자치도,춘천시,퇴계동,강원특별자치도 춘천시 퇴계동 532-9,강원특별자치도 춘천시 안마산로 97
모바일정보통신,시설관리·임대,산업용품 대여,컴퓨터/사무기기 대여업,강원특별자치도,원주시,소초면,강원특별자치도 원주시 소초면 흥양리 1235-8,강원특별자치도 원주시 소초면 황골로 126
푸르내목재건축,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,정선군,여량면,강원특별자치도 정선군 여량면 여량리 415-2,강원특별자치도 정선군 여량면 고양로 110
초원갈비,음식,한식,돼지고기 구이/찜,강원특별자치도,삼척시,교동,강원특별자치도 삼척시 교동 739-2,강원특별자치도 삼척시 청석로 79-20
마차재휴게소,음식,한식,백반/한정식,강원특별자치도,정선군,신동읍,강원특별자치도 정선군 신동읍 가사리 186,강원특별자치도 정선군 신동읍 강원남로 4155
서진불닭발,음식,한식,백반/한정식,강원특별자치도,정선군,정선읍,강원특별자치도 정선군 정선읍 봉양리 324-36,강원특별자치도 정선군 정선읍 5일장길 8
모든전기,소매,기타 생활용품 소매,전기용품/조명장치 소매업,강원특별자치도,양구군,양구읍,강원특별자치도 양구군 양구읍 하리 95-60,강원특별자치도 양구군 양구읍 비봉로 87
밤벌오토캠핑장,숙박,일반 숙박,캠핑/글램핑,강원특별자치도,홍천군,서면,강원특별자치도 홍천군 서면 반곡리 3-65,강원특별자치도 홍천군 서면 팔봉산로 950
헬스,예술·스포츠,스포츠 서비스,헬스장,강원특별자치도,삼척시,성내동,강원특별자치도 삼척시 남양동 326-5,강원특별자치도 삼척시 척주로 26
정선레져여행협동조합,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,강원특별자치도,정선군,정선읍,강원특별자치도 정선군 정선읍 광하리 91-11,강원특별자치도 정선군 정선읍 정선로 593
현대자동차,수리·개인,자동차 수리·세차,자동차 정비소,강원특별자치도,춘천시,강남동,강원특별자치도 춘천시 온의동 58-2,강원특별자치도 춘천시 영서로 2339
드림파크,숙박,일반 숙박,여관/모텔,강원특별자치도,철원군,동송읍,강원특별자치도 철원군 동송읍 장흥리 24-27,강원특별자치도 철원군 동송읍 창동로 2407
성광종합상사,소매,철물·건설자재 소매,철물/공구 소매업,강원특별자치도,인제군,북면,강원특별자치도 인제군 북면 원통리 651,강원특별자치도 인제군 북면 원통로 212
숲속민박,숙박,일반 숙박,펜션,강원특별자치도,원주시,지정면,강원특별자치도 원주시 지정면 판대리 172,강원특별자치도 원주시 지정면 지정로 1031
숲속에동물농장,예술·스포츠,유원지·오락,기타 오락장,강원특별자치도,평창군,대관령면,강원특별자치도 평창군 대관령면 횡계리 384-2,강원특별자치도 평창군 대관령면 청골길 12
호텔하루,숙박,일반 숙박,여관/모텔,강원특별자치도,원주시,무실동,강원특별자치도 원주시 단계동 881-11,강원특별자치도 원주시 서원대로 166-1
비젼텔레콤,소매,중고 상품 소매,중고 상품 소매업,강원특별자치도,동해시,동호동,강원특별자치도 동해시 발한동 218-53,강원특별자치도 동해시 발한로 146
착한사람들,소매,오락용품 소매,장난감 소매업,강원특별자치도,화천군,간동면,강원특별자치도 화천군 간동면 간척리 734-4,강원특별자치도 화천군 간동면 간척월명로 56
서울식당,음식,한식,백반/한정식,강원특별자치도,화천군,상서면,강원특별자치도 화천군 상서면 노동리 898-2,강원특별자치도 화천군 상서면 노신로 847
쥬네스에스테틱,수리·개인,이용·미용,피부 관리실,강원특별자치도,원주시,개운동,강원특별자치도 원주시 개운동 441,강원특별자치도 원주시 서원대로 389
보네르뷰티,수리·개인,이용·미용,피부 관리실,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 임당동 137-2,강원특별자치도 강릉시 경강로 2069
중앙인쇄디자인,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,강원특별자치도,화천군,화천읍,강원특별자치도 화천군 화천읍 하리 43-81,강원특별자치도 화천군 화천읍 상승로 50
치악찜질사우나,수리·개인,욕탕·신체관리,목욕탕/사우나,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동 1462-1,강원특별자치도 원주시 송림길 52-15
신계,음식,한식,돼지고기 구이/찜,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동 1730-7,강원특별자치도 원주시 만대공원길 24-9
새나루펜션,숙박,일반 숙박,펜션,강원특별자치도,양양군,현남면,강원특별자치도 양양군 현남면 시변리 31-7,강원특별자치도 양양군 현남면 새나루길 35-12
라온스파펜션,숙박,일반 숙박,펜션,강원특별자치도,삼척시,남양동,강원특별자치도 삼척시 오분동 1-13,강원특별자치도 삼척시 삼척로 4246-13
영반자동차공업사,수리·개인,자동차 수리·세차,자동차 정비소,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 결운리 307-16,강원특별자치도 홍천군 홍천읍 결운로 138
두미르미용실,수리·개인,이용·미용,미용실,강원특별자치도,춘천시,소양동,강원특별자치도 춘천시 소양로2가 172-1,강원특별자치도 춘천시 서부대성로 12
송정막국수,음식,한식,국수/칼국수,강원특별자치도,원주시,지정면,강원특별자치도 원주시 지정면 가곡리 1374-9,강원특별자치도 원주시 지정면 신지정로 199-5
아이스포츠,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,강릉시,강남동,강원특별자치도 강릉시 노암동 724-3,강원특별자치도 강릉시 안땔길 2
조선돼지갈비단구선아,음식,한식,돼지고기 구이/찜,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동 618-8,강원특별자치도 원주시 치악로 1655
위대한푸드,음식,한식,백반/한정식,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동 1543-3,강원특별자치도 원주시 천매봉길 46-15
대선산업,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,원주시,문막읍,강원특별자치도 원주시 문막읍 동화리 71-7,강원특별자치도 원주시 문막읍 지정로 2
정담은콩메마루,소매,식료품 소매,채소/과일 소매업,강원특별자치도,인제군,북면,강원특별자치도 인제군 북면 월학리 2055,강원특별자치도 인제군 북면 냇강마을안길 329
강원인닷컴，강남스튜디오,과학·기술,사진 촬영,사진촬영업,강원특별자치도,강릉시,강남동,강원특별자치도 강릉시 노암동 279-4,강원특별자치도 강릉시 강변로 282
AK원주점데상트,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,원주시,단계동,강원특별자치도 원주시 단계동 1123,강원특별자치도 원주시 봉화로 1
아카데미안경원,소매,안경·정밀기기 소매,안경렌즈 소매업,강원특별자치도,횡성군,횡성읍,강원특별자치도 횡성군 횡성읍 읍하리 116-9,강원특별자치도 횡성군 횡성읍 횡성로 406
뼈대있는짬뽕,음식,중식,중국집,강원특별자치도,원주시,봉산동,강원특별자치도 원주시 봉산동 1196-2,강원특별자치도 원주시 삼광1길 10
아트피아전찬흥건축사,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 임당동 94-5,강원특별자치도 강릉시 경강로2103번길 17-3
홍메화장품,수리·개인,욕탕·신체관리,마사지/안마,강원특별자치도,속초시,동명동,강원특별자치도 속초시 동명동 261-10,강원특별자치도 속초시 장안로 17
춘하추동,음식,한식,백반/한정식,강원특별자치도,태백시,삼수동,강원특별자치도 태백시 황지동 253-91,강원특별자치도 태백시 연지로 12
흥전돈반골,음식,한식,돼지고기 구이/찜,강원특별자치도,삼척시,도계읍,강원특별자치도 삼척시 도계읍 흥전리 75-19,강원특별자치도 삼척시 도계읍 흥전길 64
오월에초당,음식,한식,백반/한정식,강원특별자치도,강릉시,초당동,강원특별자치도 강릉시 초당동 357-4,강원특별자치도 강릉시 난설헌로 234-5
둥글바위식당,음식,한식,백반/한정식,강원특별자치도,영월군,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1602,강원특별자치도 영월군 영월읍 동강로 214-3
러블리숑숑,음식,비알코올 ,카페,강원특별자치도,춘천시,강남동,강원특별자치도 춘천시 칠전동 548-6,강원특별자치도 춘천시 칠전서길 46-63
마루노리,숙박,일반 숙박,여관/모텔,강원특별자치도,원주시,지정면,강원특별자치도 원주시 지정면 판대리 427,강원특별자치도 원주시 지정면 지정로 1234
장의사,수리·개인,장례식장 ,장례식장,강원특별자치도,삼척시,남양동,강원특별자치도 삼척시 남양동 55-121,강원특별자치도 삼척시 오십천로 460
원조한치회,음식,한식,횟집,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 연봉리 469-5,강원특별자치도 홍천군 홍천읍 연봉중앙로 34
대우닭갈비,음식,한식,닭/오리고기 구이/찜,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 신장대리 72-6,강원특별자치도 홍천군 홍천읍 번영로 35-2
이니스프리이마트강릉그린,소매,의약·화장품 소매,화장품 소매업,강원특별자치도,강릉시,송정동,강원특별자치도 강릉시 송정동 1008-7,강원특별자치도 강릉시 경강로 2398-10
좋은음향,수리·개인,가전제품 수리,가전제품 수리업,강원특별자치도,춘천시,후평3동,강원특별자치도 춘천시 후평동 814-14,강원특별자치도 춘천시 후석로250번길 9
화로상회강릉입암점,음식,한식,돼지고기 구이/찜,강원특별자치도,강릉시,성덕동,강원특별자치도 강릉시 입암동 708-1,강원특별자치도 강릉시 성덕포남로 53
건축사사무소노아,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,강원특별자치도,춘천시,후평1동,강원특별자치도 춘천시 후평동 686-1,강원특별자치도 춘천시 춘천로 283
제일사,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,원주시,중앙동,강원특별자치도 원주시 중앙동 56-44,강원특별자치도 원주시 중앙시장길 11
주공카센타,수리·개인,자동차 수리·세차,자동차 정비소,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 갈마곡리 160-7,강원특별자치도 홍천군 홍천읍 공작산로 46
지에스25삼척사직로점,소매,종합 소매,편의점,강원특별자치도,삼척시,남양동,강원특별자치도 삼척시 남양동 352-3,강원특별자치도 삼척시 사직로 16
X-TOP파워댄스,교육,기타 교육,레크리에이션 교육기관,강원특별자치도,원주시,단계동,강원특별자치도 원주시 단계동 1084-2,강원특별자치도 원주시 백간길 81
24시뼈해장국,음식,한식,국/탕/찌개류,강원특별자치도,삼척시,도계읍,강원특별자치도 삼척시 도계읍 도계리 390-7,강원특별자치도 삼척시 도계읍 도계로 290-8
샤인뷰티아이브로우바,수리·개인,이용·미용,피부 관리실,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동 1512-1,강원특별자치도 원주시 서원대로 406
도야지,음식,한식,돼지고기 구이/찜,강원특별자치도,태백시,상장동,강원특별자치도 태백시 황지동 208-23,강원특별자치도 태백시 고원로 37
부오나피자강릉점,음식,기타 간이,피자,강원특별자치도,강릉시,교1동,강원특별자치도 강릉시 교동 1822-2,강원특별자치도 강릉시 하슬라로206번길 19-14
뉴월드,소매,섬유·의복·신발 소매,여성 의류 소매업,강원특별자치도,인제군,북면,강원특별자치도 인제군 북면 원통리 710-12,강원특별자치도 인제군 북면 원통로174번길 5-1
바른자동차정비,수리·개인,자동차 수리·세차,자동차 정비소,강원특별자치도,동해시,송정동,강원특별자치도 동해시 송정동 1116,강원특별자치도 동해시 효자로 795
횡성송어횟집,음식,한식,횟집,강원특별자치도,횡성군,횡성읍,강원특별자치도 횡성군 횡성읍 내지리 27,강원특별자치도 횡성군 횡성읍 섬강로388번길 75
길서방네칼국수,음식,한식,국수/칼국수,강원특별자치도,고성군,간성읍,강원특별자치도 고성군 간성읍 신안리 274-8,강원특별자치도 고성군 간성읍 간성시장3길 8-1
금갑한우,음식,한식,소고기 구이/찜,강원특별자치도,원주시,중앙동,강원특별자치도 원주시 중앙동 62-66,강원특별자치도 원주시 중앙시장길 6
영월사랑공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,영월군,영월읍,강원특별자치도 영월군 영월읍 영흥리 831-6,강원특별자치도 영월군 영월읍 영모전길 32
바울리나패션,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,춘천시,조운동,강원특별자치도 춘천시 운교동 127-23,강원특별자치도 춘천시 춘천로 161
케이에이치인베스트,과학·기술,본사·경영 컨설팅,경영 컨설팅업,강원특별자치도,화천군,화천읍,강원특별자치도 화천군 화천읍 하리 59-3,강원특별자치도 화천군 화천읍 중앙로7길 10
미주산업,수리·개인,세탁,세탁소,강원특별자치도,춘천시,동면,강원특별자치도 춘천시 동면 장학리 327,강원특별자치도 춘천시 동면 하일길 117
땅땅45공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,강릉시,교1동,강원특별자치도 강릉시 교동 1911-3,강원특별자치도 강릉시 하슬라로 119
카페아를,음식,서양식,경양식,강원특별자치도,철원군,동송읍,강원특별자치도 철원군 동송읍 이평리 831-38,강원특별자치도 철원군 동송읍 이평1로45번길 34
아재네구이,음식,한식,돼지고기 구이/찜,강원특별자치도,춘천시,퇴계동,강원특별자치도 춘천시 퇴계동 889-2,강원특별자치도 춘천시 행촌로 45
엄마가차려주는밥상,음식,한식,백반/한정식,강원특별자치도,강릉시,강동면,강원특별자치도 강릉시 강동면 상시동리 13-1,강원특별자치도 강릉시 강동면 율곡로 2189
씨에어항공여행사,시설관리·임대,여행사·보조,여행사,강원특별자치도,강릉시,포남1동,강원특별자치도 강릉시 포남동 1005-238,강원특별자치도 강릉시 경강로 2272
이층칼국수,음식,한식,국수/칼국수,강원특별자치도,삼척시,남양동,강원특별자치도 삼척시 남양동 55-5,강원특별자치도 삼척시 진주로 12-21
한국안전기술,시설관리·임대,청소·방제,소독; 구충 및 방제 서비스업,강원특별자치도,춘천시,동내면,강원특별자치도 춘천시 동내면 거두리 505-1,강원특별자치도 춘천시 동내면 거두길 184-22
다리골식당,음식,한식,백반/한정식,강원특별자치도,인제군,북면,강원특별자치도 인제군 북면 용대리 410-7,강원특별자치도 인제군 북면 미시령로 1281
동양정보통신,소매,가전·통신 소매,핸드폰 소매업,강원특별자치도,속초시,노학동,강원특별자치도 속초시 노학동 312-2,강원특별자치도 속초시 노리4길 19-12
납돌추어탕,음식,한식,국/탕/찌개류,강원특별자치도,강릉시,포남1동,강원특별자치도 강릉시 포남동 1188-1,강원특별자치도 강릉시 경강로2323번길 15
보릿고개,음식,한식,백반/한정식,강원특별자치도,춘천시,퇴계동,강원특별자치도 춘천시 퇴계동 959-8,강원특별자치도 춘천시 퇴계로145번길 11-1
아르미하우스,숙박,일반 숙박,여관/모텔,강원특별자치도,양구군,양구읍,강원특별자치도 양구군 양구읍 상리 269-21,강원특별자치도 양구군 양구읍 중앙길 43-8
브로우바바,수리·개인,이용·미용,피부 관리실,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동 1721-1,강원특별자치도 원주시 만대로 21
CU해안펀치볼점,소매,종합 소매,편의점,강원특별자치도,양구군,해안면,강원특별자치도 양구군 해안면 현리 24-8,강원특별자치도 양구군 해안면 펀치볼로 1352-1
프러포즈펜션,숙박,일반 숙박,펜션,강원특별자치도,평창군,봉평면,강원특별자치도 평창군 봉평면 무이리 1126-9,강원특별자치도 평창군 봉평면 안흥동길 106-32
강릉당커피콩빵안목,음식,비알코올 ,카페,강원특별자치도,강릉시,송정동,강원특별자치도 강릉시 견소동 287-43,강원특별자치도 강릉시 창해로14번길 6
알프스모텔,숙박,일반 숙박,여관/모텔,강원특별자치도,춘천시,후평1동,강원특별자치도 춘천시 후평동 729-1,강원특별자치도 춘천시 보안길 117
더레저,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,강원특별자치도,춘천시,동면,강원특별자치도 춘천시 동면 장학리 480-3,강원특별자치도 춘천시 동면 춘천순환로 869-9
파인에이치알,시설관리·임대,고용 알선,임시/일용 인력 공급업,강원특별자치도,강릉시,교2동,강원특별자치도 강릉시 교동 713-10,강원특별자치도 강릉시 가작로 155
내가찜한닭,음식,한식,닭/오리고기 구이/찜,강원특별자치도,속초시,교동,강원특별자치도 속초시 청학동 482-16,강원특별자치도 속초시 중앙로 68
청송막국수,음식,한식,국수/칼국수,강원특별자치도,춘천시,석사동,강원특별자치도 춘천시 석사동 641,강원특별자치도 춘천시 벌말길 68
어바웃크린,수리·개인,세탁,세탁소,강원특별자치도,삼척시,성내동,강원특별자치도 삼척시 등봉동 72,강원특별자치도 삼척시 오십천로 52-4
안경매니아,소매,안경·정밀기기 소매,안경렌즈 소매업,강원특별자치도,원주시,개운동,강원특별자치도 원주시 개운동 404-12,강원특별자치도 원주시 개운로 65
기분좋은옷,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 성남동 61-8,강원특별자치도 강릉시 중앙시장길 12
코뿔소글램핑,숙박,일반 숙박,펜션,강원특별자치도,평창군,방림면,강원특별자치도 평창군 방림면 계촌리 867,강원특별자치도 평창군 방림면 삼형제길 279-61
건강박사,소매,식료품 소매,건강보조식품 소매업,강원특별자치도,속초시,노학동,강원특별자치도 속초시 노학동 635-1,강원특별자치도 속초시 도리원길 5
공작산물골,숙박,일반 숙박,여관/모텔,강원특별자치도,홍천군,영귀미면,강원특별자치도 홍천군 영귀미면 노천리 2000,강원특별자치도 홍천군 영귀미면 공작산로 1489-14
아이앤시스템,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,강원특별자치도,원주시,반곡관설동,강원특별자치도 원주시 관설동 1732-12,강원특별자치도 원주시 관설안길 27-7
다뉴분식&세경대포집,음식,주점,요리 주점,강원특별자치도,춘천시,후평1동,강원특별자치도 춘천시 후평동 711-29,강원특별자치도 춘천시 삭주로 128
마이데이,음식,주점,요리 주점,강원특별자치도,강릉시,교1동,강원특별자치도 강릉시 교동 1767,강원특별자치도 강릉시 교동광장로 138-15
소복소복,음식,한식,국수/칼국수,강원특별자치도,춘천시,동내면,강원특별자치도 춘천시 동내면 거두리 1127-2,강원특별자치도 춘천시 동내면 거두택지길44번길 7-14
프라자건강약국,소매,의약·화장품 소매,약국,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동 1855-4,강원특별자치도 원주시 능라동길 70
동수리막국수,음식,한식,국수/칼국수,강원특별자치도,양구군,양구읍,강원특별자치도 양구군 양구읍 동수리 52,강원특별자치도 양구군 양구읍 파로호로 899
마카오박,음식,기타 간이,빵/도넛,강원특별자치도,속초시,금호동,강원특별자치도 속초시 중앙동 481-42,강원특별자치도 속초시 중앙로129번길 4
시월오일PC방,예술·스포츠,유원지·오락,PC방,강원특별자치도,인제군,기린면,강원특별자치도 인제군 기린면 현리 635-8,강원특별자치도 인제군 기린면 내린천로 4030
407억당첨가판점,예술·스포츠,유원지·오락,복권 발행/판매업,강원특별자치도,춘천시,약사명동,강원특별자치도 춘천시 중앙로2가 27-1,강원특별자치도 춘천시 중앙로 65
씨제이공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,원주시,학성동,강원특별자치도 원주시 학성동 1038-14,강원특별자치도 원주시 학성길 89
에버누리,숙박,일반 숙박,여관/모텔,강원특별자치도,평창군,봉평면,강원특별자치도 평창군 봉평면 흥정리 208-5,강원특별자치도 평창군 봉평면 흥정계곡길 382
대관령전기,소매,기타 생활용품 소매,전기용품/조명장치 소매업,강원특별자치도,평창군,대관령면,강원특별자치도 평창군 대관령면 횡계리 275-9,강원특별자치도 평창군 대관령면 송천2길 29-5
무지개공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,강원특별자치도,동해시,천곡동,강원특별자치도 동해시 천곡동 1008-15,강원특별자치도 동해시 동굴로 63
한아름자동차수리,수리·개인,자동차 수리·세차,자동차 정비소,강원특별자치도,원주시,단구동,강원특별자치도 원주시 단구동 611-14,강원특별자치도 원주시 치악로 1662-2
원시스템,수리·개인,세탁,세탁소,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 희망리 167-5,강원특별자치도 홍천군 홍천읍 희망로13길 16-15
커피클럽,음식,비알코올 ,카페,강원특별자치도,강릉시,옥천동,강원특별자치도 강릉시 옥천동 155-1,강원특별자치도 강릉시 옥가로 9
엠코오에이솔루션,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,강원특별자치도,춘천시,소양동,강원특별자치도 춘천시 봉의동 1-8,강원특별자치도 춘천시 봉의산길22번길 16
청풍횟집,음식,한식,횟집,강원특별자치도,원주시,개운동,강원특별자치도 원주시 개운동 413-3,강원특별자치도 원주시 치악로 1738
씨유김유정역점,소매,종합 소매,편의점,강원특별자치도,춘천시,신동면,강원특별자치도 춘천시 신동면 증리 938-3,강원특별자치도 춘천시 신동면 김유정로 1427
킹몰,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,춘천시,석사동,강원특별자치도 춘천시 석사동 711-3,강원특별자치도 춘천시 벌말길 16-8
대일여인숙,숙박,일반 숙박,여관/모텔,강원특별자치도,원주시,중앙동,강원특별자치도 원주시 학성동 315-11,강원특별자치도 원주시 충정길 42-2
모두와,소매,섬유·의복·신발 소매,여성 의류 소매업,강원특별자치도,춘천시,소양동,강원특별자치도 춘천시 중앙로1가 91,강원특별자치도 춘천시 중앙로 33
대관령양떼마을펜션,숙박,일반 숙박,펜션,강원특별자치도,평창군,대관령면,강원특별자치도 평창군 대관령면 횡계리 3-19,강원특별자치도 평창군 대관령면 대관령마루길 365-8
한낮의바다,음식,비알코올 ,카페,강원특별자치도,강릉시,교1동,강원특별자치도 강릉시 교동 923-1,강원특별자치도 강릉시 강릉대로159번안길 12
근식당,음식,한식,백반/한정식,강원특별자치도,원주시,중앙동,강원특별자치도 원주시 중앙동 60-55,강원특별자치도 원주시 중앙시장길 6
천제당쉼터,숙박,일반 숙박,펜션,강원특별자치도,평창군,방림면,강원특별자치도 평창군 방림면 방림리 736-2,강원특별자치도 평창군 방림면 천제당길 32-5
씨유강릉미디어촌5단지점,소매,종합 소매,편의점,강원특별자치도,강릉시,홍제동,강원특별자치도 강릉시 홍제동 1039,강원특별자치도 강릉시 선수촌로 11
억새꽃맛집,음식,한식,백반/한정식,강원특별자치도,정선군,남면,강원특별자치도 정선군 남면 무릉리 611-4,강원특별자치도 정선군 남면 무릉1로 115-1
세븐일레븐춘천솟발길점,소매,종합 소매,편의점,강원특별자치도,춘천시,퇴계동,강원특별자치도 춘천시 퇴계동 493-11,강원특별자치도 춘천시 솟발1길 4-37
종로족발빈대떡,음식,한식,백반/한정식,강원특별자치도,홍천군,홍천읍,강원특별자치도 홍천군 홍천읍 희망리 140,강원특별자치도 홍천군 홍천읍 희망로 46
스타일,소매,섬유·의복·신발 소매,기타 의류 소매업,강원특별자치도,춘천시,약사명동,강원특별자치도 춘천시 죽림동 32,강원특별자치도 춘천시 약사고개길 13
팔공티,음식,비알코올 ,카페,강원특별자치도,춘천시,교동,강원특별자치도 춘천시 교동 157-26,강원특별자치도 춘천시 성심로 4-1
정선자그로농장,소매,식료품 소매,채소/과일 소매업,강원특별자치도,정선군,북평면,강원특별자치도 정선군 북평면 나전리 261-4,강원특별자치도 정선군 북평면 어도원길 183
안전기술,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,강원특별자치도,원주시,반곡관설동,강원특별자치도 원주시 관설동 1758-1,강원특별자치도 원주시 치악고교길 91
좋은곳,숙박,일반 숙박,펜션,강원특별자치도,강릉시,사천면,강원특별자치도 강릉시 사천면 사천진리 351,강원특별자치도 강릉시 사천면 해안로 1185
피자알볼로,음식,기타 간이,피자,강원특별자치도,양구군,양구읍,강원특별자치도 양구군 양구읍 상리 525-5,강원특별자치도 양구군 양구읍 양록길 19
