month,region,district,industry,age_group,payment_amount,transaction_count,avg_ticket,event_participation,revisit_rate,merchant_count
2025-01,수원시 팔달구,행궁동,의류/잡화,60대 이상,773614,22,35164,미참여,0.28,15
2025-01,수원시 팔달구,행궁동,미용/생활서비스,20대,707573,22,32162,미참여,0.205,19
2025-01,수원시 팔달구,행궁동,미용/생활서비스,30대,801643,27,29690,미참여,0.397,20
2025-01,수원시 팔달구,행궁동,미용/생활서비스,40대,821800,31,26509,미참여,0.376,12
2025-01,수원시 팔달구,행궁동,미용/생활서비스,50대,704780,25,28191,미참여,0.262,23
2025-01,수원시 팔달구,행궁동,미용/생활서비스,60대 이상,749504,21,35690,미참여,0.424,31
2025-01,수원시 팔달구,행궁동,교육/학원,20대,805456,10,80545,미참여,0.343,20
2025-01,수원시 팔달구,행궁동,교육/학원,30대,3037548,34,89339,미참여,0.326,37
2025-01,수원시 팔달구,행궁동,교육/학원,40대,1096151,15,73076,미참여,0.254,21
2025-01,수원시 팔달구,행궁동,교육/학원,50대,1868630,18,103812,미참여,0.393,17
2025-01,수원시 팔달구,행궁동,교육/학원,60대 이상,1494456,18,83025,미참여,0.369,9
2025-01,수원시 팔달구,행궁동,병원/약국,20대,789317,37,21332,미참여,0.355,9
2025-01,수원시 팔달구,행궁동,병원/약국,30대,626899,27,23218,미참여,0.396,21
2025-01,수원시 팔달구,행궁동,병원/약국,40대,799189,30,26639,미참여,0.436,22
2025-01,수원시 팔달구,행궁동,병원/약국,50대,830786,39,21302,미참여,0.306,18
2025-01,수원시 팔달구,행궁동,병원/약국,60대 이상,938591,36,26071,미참여,0.308,25
2025-01,수원시 팔달구,행궁동,편의점/마트,20대,337078,30,11235,미참여,0.364,19
2025-01,수원시 팔달구,행궁동,편의점/마트,30대,491174,33,14884,미참여,0.248,19
2025-01,수원시 팔달구,행궁동,편의점/마트,40대,349027,33,10576,미참여,0.475,24
2025-01,수원시 팔달구,행궁동,편의점/마트,50대,250825,22,11401,미참여,0.589,20
2025-01,수원시 팔달구,행궁동,편의점/마트,60대 이상,522192,38,13741,미참여,0.621,25
2025-01,수원시 팔달구,매산동,한식/분식,20대,635379,38,16720,미참여,0.47,31
2025-01,수원시 팔달구,매산동,한식/분식,30대,648058,43,15071,미참여,0.407,12
2025-01,수원시 팔달구,매산동,한식/분식,40대,616800,49,12587,미참여,0.56,10
2025-01,수원시 팔달구,매산동,한식/분식,50대,623690,47,13270,미참여,0.448,18
2025-01,수원시 팔달구,매산동,한식/분식,60대 이상,931252,58,16056,미참여,0.622,5
2025-01,수원시 팔달구,매산동,카페/디저트,20대,646070,65,9939,미참여,0.375,13
2025-01,수원시 팔달구,매산동,카페/디저트,30대,155019,22,7046,미참여,0.297,23
2025-01,수원시 팔달구,매산동,카페/디저트,40대,187114,19,9848,미참여,0.423,22
2025-01,수원시 팔달구,매산동,카페/디저트,50대,230794,24,9616,미참여,0.348,18
2025-01,수원시 팔달구,매산동,카페/디저트,60대 이상,210480,21,10022,미참여,0.33,25
2025-01,수원시 팔달구,매산동,신선식품,20대,1017257,30,33908,미참여,0.547,19
2025-01,수원시 팔달구,매산동,신선식품,30대,645877,27,23921,미참여,0.459,18
2025-01,수원시 팔달구,매산동,신선식품,40대,1902290,66,28822,미참여,0.339,10
2025-01,수원시 팔달구,매산동,신선식품,50대,1991267,61,32643,미참여,0.429,12
2025-01,수원시 팔달구,매산동,신선식품,60대 이상,877299,26,33742,미참여,0.356,17
2025-01,수원시 팔달구,매산동,생활용품,20대,509336,26,19589,미참여,0.372,17
2025-01,수원시 팔달구,매산동,생활용품,30대,876237,32,27382,미참여,0.22,9
2025-01,수원시 팔달구,매산동,생활용품,40대,802874,34,23613,미참여,0.427,20
2025-01,수원시 팔달구,매산동,생활용품,50대,479308,21,22824,미참여,0.379,14
2025-01,수원시 팔달구,매산동,생활용품,60대 이상,1253935,57,21998,미참여,0.412,18
2025-01,수원시 팔달구,매산동,의류/잡화,20대,630247,17,37073,미참여,0.481,24
2025-01,수원시 팔달구,매산동,의류/잡화,30대,804958,19,42366,미참여,0.547,12
2025-01,수원시 팔달구,매산동,의류/잡화,40대,555150,16,34696,미참여,0.282,19
2025-01,수원시 팔달구,매산동,의류/잡화,50대,781719,19,41143,미참여,0.269,21
2025-01,수원시 팔달구,매산동,의류/잡화,60대 이상,1032556,29,35605,미참여,0.456,14
2025-01,수원시 팔달구,매산동,미용/생활서비스,20대,1032557,29,35605,미참여,0.34,26
2025-01,수원시 팔달구,매산동,미용/생활서비스,30대,609903,17,35876,미참여,0.35,18
2025-01,수원시 팔달구,매산동,미용/생활서비스,40대,730347,27,27049,미참여,0.361,21
2025-01,수원시 팔달구,매산동,미용/생활서비스,50대,595959,20,29797,미참여,0.38,12
2025-01,수원시 팔달구,매산동,미용/생활서비스,60대 이상,821702,23,35726,미참여,0.535,30
2025-01,수원시 팔달구,매산동,교육/학원,20대,1318114,18,73228,미참여,0.408,27
2025-01,수원시 팔달구,매산동,교육/학원,30대,1527634,21,72744,미참여,0.445,5
2025-01,수원시 팔달구,매산동,교육/학원,40대,2018176,24,84090,미참여,0.485,18
2025-01,수원시 팔달구,매산동,교육/학원,50대,1986140,19,104533,미참여,0.197,17
2025-01,수원시 팔달구,매산동,교육/학원,60대 이상,1527884,19,80414,미참여,0.383,11
2025-01,수원시 팔달구,매산동,병원/약국,20대,623750,25,24950,미참여,0.261,21
2025-01,수원시 팔달구,매산동,병원/약국,30대,392265,17,23074,미참여,0.34,10
2025-01,수원시 팔달구,매산동,병원/약국,40대,540555,20,27027,미참여,0.287,19
2025-01,수원시 팔달구,매산동,병원/약국,50대,606832,22,27583,미참여,0.302,13
2025-01,수원시 팔달구,매산동,병원/약국,60대 이상,981604,41,23941,미참여,0.498,16
2025-01,수원시 팔달구,매산동,편의점/마트,20대,370427,30,12347,미참여,0.285,19
2025-01,수원시 팔달구,매산동,편의점/마트,30대,211427,18,11745,미참여,0.372,10
2025-01,수원시 팔달구,매산동,편의점/마트,40대,428145,34,12592,미참여,0.437,11
2025-01,수원시 팔달구,매산동,편의점/마트,50대,302746,28,10812,미참여,0.351,8
2025-01,수원시 팔달구,매산동,편의점/마트,60대 이상,418187,28,14935,미참여,0.304,21
2025-01,수원시 팔달구,고등동,한식/분식,20대,331423,25,13256,미참여,0.377,16
2025-01,수원시 팔달구,고등동,한식/분식,30대,414913,27,15367,미참여,0.454,23
2025-01,수원시 팔달구,고등동,한식/분식,40대,745832,43,17344,미참여,0.378,31
2025-01,수원시 팔달구,고등동,한식/분식,50대,606614,39,15554,미참여,0.28,29
2025-01,수원시 팔달구,고등동,한식/분식,60대 이상,680456,46,14792,미참여,0.284,24
2025-01,수원시 팔달구,고등동,카페/디저트,20대,204158,23,8876,미참여,0.344,9
2025-01,수원시 팔달구,고등동,카페/디저트,30대,200093,27,7410,미참여,0.441,13
2025-01,수원시 팔달구,고등동,카페/디저트,40대,205244,23,8923,미참여,0.128,12
2025-01,수원시 팔달구,고등동,카페/디저트,50대,263517,26,10135,미참여,0.383,13
2025-01,수원시 팔달구,고등동,카페/디저트,60대 이상,253823,27,9400,미참여,0.455,19
2025-01,수원시 팔달구,고등동,신선식품,20대,538291,21,25632,미참여,0.466,16
2025-01,수원시 팔달구,고등동,신선식품,30대,1109613,33,33624,미참여,0.538,16
2025-01,수원시 팔달구,고등동,신선식품,40대,1087017,40,27175,미참여,0.432,32
2025-01,수원시 팔달구,고등동,신선식품,50대,1105848,37,29887,미참여,0.451,25
2025-01,수원시 팔달구,고등동,신선식품,60대 이상,1340416,41,32693,미참여,0.487,37
2025-01,수원시 팔달구,고등동,생활용품,20대,750510,35,21443,미참여,0.425,14
2025-01,수원시 팔달구,고등동,생활용품,30대,679868,26,26148,미참여,0.326,13
2025-01,수원시 팔달구,고등동,생활용품,40대,851897,34,25055,미참여,0.428,32
2025-01,수원시 팔달구,고등동,생활용품,50대,847942,39,21742,미참여,0.19,34
2025-01,수원시 팔달구,고등동,생활용품,60대 이상,739623,31,23858,미참여,0.57,22
2025-01,수원시 팔달구,고등동,의류/잡화,20대,1450609,34,42664,미참여,0.279,21
2025-01,수원시 팔달구,고등동,의류/잡화,30대,761144,19,40060,미참여,0.261,17
2025-01,수원시 팔달구,고등동,의류/잡화,40대,883400,25,35336,미참여,0.336,15
2025-01,수원시 팔달구,고등동,의류/잡화,50대,741811,21,35324,미참여,0.424,18
2025-01,수원시 팔달구,고등동,의류/잡화,60대 이상,685539,19,36081,미참여,0.327,7
2025-01,수원시 팔달구,고등동,미용/생활서비스,20대,518960,17,30527,미참여,0.329,22
2025-01,수원시 팔달구,고등동,미용/생활서비스,30대,568861,17,33462,미참여,0.326,10
2025-01,수원시 팔달구,고등동,미용/생활서비스,40대,586491,17,34499,미참여,0.368,16
2025-01,수원시 팔달구,고등동,미용/생활서비스,50대,405142,13,31164,미참여,0.286,18
2025-01,수원시 팔달구,고등동,미용/생활서비스,60대 이상,800517,26,30789,미참여,0.462,3
2025-01,수원시 팔달구,고등동,교육/학원,20대,1566268,15,104417,미참여,0.223,12
2025-01,수원시 팔달구,고등동,교육/학원,30대,1473624,19,77559,미참여,0.434,26
2025-01,수원시 팔달구,고등동,교육/학원,40대,1061055,14,75789,미참여,0.303,21
2025-01,수원시 팔달구,고등동,교육/학원,50대,1207767,15,80517,미참여,0.414,21
2025-01,수원시 팔달구,고등동,교육/학원,60대 이상,1822047,23,79219,미참여,0.403,15
2025-01,수원시 팔달구,고등동,병원/약국,20대,441952,17,25997,미참여,0.433,16
2025-01,수원시 팔달구,고등동,병원/약국,30대,673261,28,24045,미참여,0.21,22
2025-01,수원시 팔달구,고등동,병원/약국,40대,713017,29,24586,미참여,0.369,17
2025-01,수원시 팔달구,고등동,병원/약국,50대,1128570,45,25079,미참여,0.36,19
2025-01,수원시 팔달구,고등동,병원/약국,60대 이상,895989,35,25599,미참여,0.229,23
2025-01,수원시 팔달구,고등동,편의점/마트,20대,432592,34,12723,미참여,0.381,12
2025-01,수원시 팔달구,고등동,편의점/마트,30대,231480,18,12860,미참여,0.523,21
2025-01,수원시 팔달구,고등동,편의점/마트,40대,261361,18,14520,미참여,0.453,24
2025-01,수원시 팔달구,고등동,편의점/마트,50대,364729,25,14589,미참여,0.264,9
2025-01,수원시 팔달구,고등동,편의점/마트,60대 이상,316078,23,13742,미참여,0.447,12
2025-01,수원시 팔달구,인계동,한식/분식,20대,460412,32,14387,미참여,0.342,34
2025-01,수원시 팔달구,인계동,한식/분식,30대,870172,49,17758,미참여,0.353,30
2025-01,수원시 팔달구,인계동,한식/분식,40대,820907,52,15786,미참여,0.533,17
2025-01,수원시 팔달구,인계동,한식/분식,50대,516760,34,15198,미참여,0.374,41
2025-01,수원시 팔달구,인계동,한식/분식,60대 이상,670523,41,16354,미참여,0.486,9
2025-01,수원시 팔달구,인계동,카페/디저트,20대,304169,41,7418,미참여,0.343,22
2025-01,수원시 팔달구,인계동,카페/디저트,30대,262407,28,9371,미참여,0.4,25
2025-01,수원시 팔달구,인계동,카페/디저트,40대,183771,18,10209,미참여,0.389,19
2025-01,수원시 팔달구,인계동,카페/디저트,50대,169952,24,7081,미참여,0.253,25
2025-01,수원시 팔달구,인계동,카페/디저트,60대 이상,409085,42,9740,미참여,0.434,14
2025-01,수원시 팔달구,인계동,신선식품,20대,663567,21,31598,미참여,0.543,12
2025-01,수원시 팔달구,인계동,신선식품,30대,685778,21,32656,미참여,0.523,8
2025-01,수원시 팔달구,인계동,신선식품,40대,1155517,48,24073,미참여,0.437,28
2025-01,수원시 팔달구,인계동,신선식품,50대,1695543,55,30828,미참여,0.39,30
2025-01,수원시 팔달구,인계동,신선식품,60대 이상,951417,38,25037,미참여,0.309,12
2025-01,수원시 팔달구,인계동,생활용품,20대,414860,22,18857,미참여,0.347,23
2025-01,수원시 팔달구,인계동,생활용품,30대,757670,28,27059,미참여,0.439,19
2025-01,수원시 팔달구,인계동,생활용품,40대,988325,49,20169,미참여,0.365,25
2025-01,수원시 팔달구,인계동,생활용품,50대,749377,37,20253,미참여,0.294,16
2025-01,수원시 팔달구,인계동,생활용품,60대 이상,980211,36,27228,미참여,0.478,16
2025-01,수원시 팔달구,인계동,의류/잡화,20대,986765,30,32892,미참여,0.368,7
2025-01,수원시 팔달구,인계동,의류/잡화,30대,630516,15,42034,미참여,0.295,15
2025-01,수원시 팔달구,인계동,의류/잡화,40대,567493,16,35468,미참여,0.226,12
2025-01,수원시 팔달구,인계동,의류/잡화,50대,558153,17,32832,미참여,0.303,19
2025-01,수원시 팔달구,인계동,의류/잡화,60대 이상,875005,23,38043,미참여,0.306,25
2025-01,수원시 팔달구,인계동,미용/생활서비스,20대,792958,22,36043,미참여,0.403,25
2025-01,수원시 팔달구,인계동,미용/생활서비스,30대,942527,28,33661,미참여,0.474,22
2025-01,수원시 팔달구,인계동,미용/생활서비스,40대,892532,33,27046,미참여,0.459,12
2025-01,수원시 팔달구,인계동,미용/생활서비스,50대,578889,20,28944,미참여,0.367,18
2025-01,수원시 팔달구,인계동,미용/생활서비스,60대 이상,831475,26,31979,미참여,0.322,19
2025-01,수원시 팔달구,인계동,교육/학원,20대,2096841,25,83873,미참여,0.405,19
2025-01,수원시 팔달구,인계동,교육/학원,30대,1342016,18,74556,미참여,0.447,10
2025-01,수원시 팔달구,인계동,교육/학원,40대,1120333,12,93361,미참여,0.3,20
2025-01,수원시 팔달구,인계동,교육/학원,50대,1248791,15,83252,미참여,0.491,17
2025-01,수원시 팔달구,인계동,교육/학원,60대 이상,1804587,17,106152,미참여,0.22,2
2025-01,수원시 팔달구,인계동,병원/약국,20대,619454,23,26932,미참여,0.235,24
2025-01,수원시 팔달구,인계동,병원/약국,30대,1089972,37,29458,미참여,0.516,10
2025-01,수원시 팔달구,인계동,병원/약국,40대,729888,30,24329,미참여,0.328,20
2025-01,수원시 팔달구,인계동,병원/약국,50대,670259,28,23937,미참여,0.343,25
2025-01,수원시 팔달구,인계동,병원/약국,60대 이상,2200571,79,27855,미참여,0.401,21
2025-01,수원시 팔달구,인계동,편의점/마트,20대,362464,35,10356,미참여,0.448,22
2025-01,수원시 팔달구,인계동,편의점/마트,30대,302424,28,10800,미참여,0.369,30
2025-01,수원시 팔달구,인계동,편의점/마트,40대,220888,17,12993,미참여,0.506,13
2025-01,수원시 팔달구,인계동,편의점/마트,50대,200407,19,10547,미참여,0.389,1
2025-01,수원시 팔달구,인계동,편의점/마트,60대 이상,458514,32,14328,미참여,0.343,17
2025-01,수원시 영통구,영통동,한식/분식,20대,409982,25,16399,미참여,0.41,18
2025-01,수원시 영통구,영통동,한식/분식,30대,315889,22,14358,미참여,0.34,16
2025-01,수원시 영통구,영통동,한식/분식,40대,593378,44,13485,미참여,0.556,24
2025-01,수원시 영통구,영통동,한식/분식,50대,562682,33,17050,미참여,0.549,19
2025-01,수원시 영통구,영통동,한식/분식,60대 이상,513614,31,16568,미참여,0.371,14
2025-01,수원시 영통구,영통동,카페/디저트,20대,613701,76,8075,미참여,0.397,18
2025-01,수원시 영통구,영통동,카페/디저트,30대,401146,43,9328,미참여,0.353,24
2025-01,수원시 영통구,영통동,카페/디저트,40대,141410,20,7070,미참여,0.327,8
2025-01,수원시 영통구,영통동,카페/디저트,50대,376452,45,8365,미참여,0.24,10
2025-01,수원시 영통구,영통동,카페/디저트,60대 이상,364604,39,9348,미참여,0.447,23
2025-01,수원시 영통구,영통동,신선식품,20대,1034767,34,30434,미참여,0.563,27
2025-01,수원시 영통구,영통동,신선식품,30대,1291284,38,33981,미참여,0.38,13
2025-01,수원시 영통구,영통동,신선식품,40대,2169199,74,29313,미참여,0.479,15
2025-01,수원시 영통구,영통동,신선식품,50대,1156759,38,30441,미참여,0.397,10
2025-01,수원시 영통구,영통동,신선식품,60대 이상,2003275,73,27442,미참여,0.388,20
2025-01,수원시 영통구,영통동,생활용품,20대,442206,19,23274,미참여,0.44,14
2025-01,수원시 영통구,영통동,생활용품,30대,747589,30,24919,미참여,0.319,15
2025-01,수원시 영통구,영통동,생활용품,40대,902646,35,25789,미참여,0.443,19
2025-01,수원시 영통구,영통동,생활용품,50대,441654,23,19202,미참여,0.415,18
2025-01,수원시 영통구,영통동,생활용품,60대 이상,376853,14,26918,미참여,0.357,4
2025-01,수원시 영통구,영통동,의류/잡화,20대,605663,14,43261,미참여,0.432,20
2025-01,수원시 영통구,영통동,의류/잡화,30대,703549,18,39086,미참여,0.45,10
2025-01,수원시 영통구,영통동,의류/잡화,40대,559162,18,31064,미참여,0.294,31
2025-01,수원시 영통구,영통동,의류/잡화,50대,1078573,26,41483,미참여,0.364,20
2025-01,수원시 영통구,영통동,의류/잡화,60대 이상,830247,22,37738,미참여,0.449,26
2025-01,수원시 영통구,영통동,미용/생활서비스,20대,566351,17,33314,미참여,0.377,12
2025-01,수원시 영통구,영통동,미용/생활서비스,30대,996480,29,34361,미참여,0.328,24
2025-01,수원시 영통구,영통동,미용/생활서비스,40대,796890,23,34647,미참여,0.323,27
2025-01,수원시 영통구,영통동,미용/생활서비스,50대,715934,28,25569,미참여,0.251,7
2025-01,수원시 영통구,영통동,미용/생활서비스,60대 이상,586802,19,30884,미참여,0.292,8
2025-01,수원시 영통구,영통동,교육/학원,20대,1994353,21,94969,미참여,0.288,45
2025-01,수원시 영통구,영통동,교육/학원,30대,2567723,29,88542,미참여,0.225,8
2025-01,수원시 영통구,영통동,교육/학원,40대,3242449,33,98256,미참여,0.404,32
2025-01,수원시 영통구,영통동,교육/학원,50대,2175214,30,72507,미참여,0.418,26
2025-01,수원시 영통구,영통동,교육/학원,60대 이상,1781568,22,80980,미참여,0.261,13
2025-01,수원시 영통구,영통동,병원/약국,20대,735257,28,26259,미참여,0.261,24
2025-01,수원시 영통구,영통동,병원/약국,30대,565713,21,26938,미참여,0.359,8
2025-01,수원시 영통구,영통동,병원/약국,40대,685890,30,22863,미참여,0.348,21
2025-01,수원시 영통구,영통동,병원/약국,50대,794347,30,26478,미참여,0.361,21
2025-01,수원시 영통구,영통동,병원/약국,60대 이상,900797,37,24345,미참여,0.238,13
2025-01,수원시 영통구,영통동,편의점/마트,20대,709568,58,12233,미참여,0.369,22
2025-01,수원시 영통구,영통동,편의점/마트,30대,407239,37,11006,미참여,0.487,24
2025-01,수원시 영통구,영통동,편의점/마트,40대,252347,19,13281,미참여,0.517,38
2025-01,수원시 영통구,영통동,편의점/마트,50대,352365,28,12584,미참여,0.358,33
2025-01,수원시 영통구,영통동,편의점/마트,60대 이상,508572,34,14958,미참여,0.481,33
2025-01,수원시 영통구,광교동,한식/분식,20대,367737,21,17511,미참여,0.378,10
2025-01,수원시 영통구,광교동,한식/분식,30대,322046,21,15335,미참여,0.451,7
2025-01,수원시 영통구,광교동,한식/분식,40대,681894,48,14206,미참여,0.54,9
2025-01,수원시 영통구,광교동,한식/분식,50대,418236,33,12673,미참여,0.48,18
2025-01,수원시 영통구,광교동,한식/분식,60대 이상,324088,21,15432,미참여,0.42,11
2025-01,수원시 영통구,광교동,카페/디저트,20대,593902,62,9579,미참여,0.252,20
2025-01,수원시 영통구,광교동,카페/디저트,30대,369629,41,9015,미참여,0.367,20
2025-01,수원시 영통구,광교동,카페/디저트,40대,230963,29,7964,미참여,0.279,11
2025-01,수원시 영통구,광교동,카페/디저트,50대,269978,32,8436,미참여,0.385,46
2025-01,수원시 영통구,광교동,카페/디저트,60대 이상,527184,54,9762,미참여,0.357,22
2025-01,수원시 영통구,광교동,신선식품,20대,1050443,32,32826,미참여,0.37,24
2025-01,수원시 영통구,광교동,신선식품,30대,505335,16,31583,미참여,0.433,17
2025-01,수원시 영통구,광교동,신선식품,40대,1137455,34,33454,미참여,0.428,23
2025-01,수원시 영통구,광교동,신선식품,50대,1088863,37,29428,미참여,0.334,15
2025-01,수원시 영통구,광교동,신선식품,60대 이상,734102,29,25313,미참여,0.435,21
2025-01,수원시 영통구,광교동,생활용품,20대,451486,23,19629,미참여,0.241,22
2025-01,수원시 영통구,광교동,생활용품,30대,519476,27,19239,미참여,0.331,28
2025-01,수원시 영통구,광교동,생활용품,40대,395290,19,20804,미참여,0.295,15
2025-01,수원시 영통구,광교동,생활용품,50대,1016424,37,27470,미참여,0.389,26
2025-01,수원시 영통구,광교동,생활용품,60대 이상,651036,29,22449,미참여,0.227,16
2025-01,수원시 영통구,광교동,의류/잡화,20대,960494,24,40020,미참여,0.298,1
2025-01,수원시 영통구,광교동,의류/잡화,30대,720782,22,32762,미참여,0.349,22
2025-01,수원시 영통구,광교동,의류/잡화,40대,540422,13,41570,미참여,0.348,11
2025-01,수원시 영통구,광교동,의류/잡화,50대,582628,16,36414,미참여,0.227,6
2025-01,수원시 영통구,광교동,의류/잡화,60대 이상,948743,22,43124,미참여,0.29,25
2025-01,수원시 영통구,광교동,미용/생활서비스,20대,782990,22,35590,미참여,0.544,13
2025-01,수원시 영통구,광교동,미용/생활서비스,30대,854547,26,32867,미참여,0.353,12
2025-01,수원시 영통구,광교동,미용/생활서비스,40대,572266,17,33662,미참여,0.317,19
2025-01,수원시 영통구,광교동,미용/생활서비스,50대,583951,17,34350,미참여,0.229,11
2025-01,수원시 영통구,광교동,미용/생활서비스,60대 이상,609891,22,27722,미참여,0.457,23
2025-01,수원시 영통구,광교동,교육/학원,20대,1682515,16,105157,미참여,0.44,17
2025-01,수원시 영통구,광교동,교육/학원,30대,2214937,29,76377,미참여,0.47,29
2025-01,수원시 영통구,광교동,교육/학원,40대,2629465,25,105178,미참여,0.292,33
2025-01,수원시 영통구,광교동,교육/학원,50대,2742537,29,94570,미참여,0.317,16
2025-01,수원시 영통구,광교동,교육/학원,60대 이상,2695159,31,86940,미참여,0.535,13
2025-01,수원시 영통구,광교동,병원/약국,20대,668871,30,22295,미참여,0.378,23
2025-01,수원시 영통구,광교동,병원/약국,30대,770216,27,28526,미참여,0.335,19
2025-01,수원시 영통구,광교동,병원/약국,40대,986166,36,27393,미참여,0.41,26
2025-01,수원시 영통구,광교동,병원/약국,50대,940765,32,29398,미참여,0.386,13
2025-01,수원시 영통구,광교동,병원/약국,60대 이상,1452008,51,28470,미참여,0.378,29
2025-01,수원시 영통구,광교동,편의점/마트,20대,516484,40,12912,미참여,0.498,23
2025-01,수원시 영통구,광교동,편의점/마트,30대,360048,29,12415,미참여,0.411,13
2025-01,수원시 영통구,광교동,편의점/마트,40대,562468,41,13718,미참여,0.322,24
2025-01,수원시 영통구,광교동,편의점/마트,50대,316978,31,10225,미참여,0.359,25
2025-01,수원시 영통구,광교동,편의점/마트,60대 이상,491159,45,10914,미참여,0.495,17
2025-01,수원시 영통구,매탄동,한식/분식,20대,583292,37,15764,미참여,0.302,5
2025-01,수원시 영통구,매탄동,한식/분식,30대,546700,38,14386,미참여,0.38,35
2025-01,수원시 영통구,매탄동,한식/분식,40대,638846,41,15581,미참여,0.616,26
2025-01,수원시 영통구,매탄동,한식/분식,50대,547529,32,17110,미참여,0.356,17
2025-01,수원시 영통구,매탄동,한식/분식,60대 이상,345020,21,16429,미참여,0.438,28
2025-01,수원시 영통구,매탄동,카페/디저트,20대,360924,43,8393,미참여,0.343,22
2025-01,수원시 영통구,매탄동,카페/디저트,30대,511561,51,10030,미참여,0.258,40
2025-01,수원시 영통구,매탄동,카페/디저트,40대,232805,28,8314,미참여,0.317,33
2025-01,수원시 영통구,매탄동,카페/디저트,50대,228427,28,8158,미참여,0.363,7
2025-01,수원시 영통구,매탄동,카페/디저트,60대 이상,209481,25,8379,미참여,0.396,18
2025-01,수원시 영통구,매탄동,신선식품,20대,568162,23,24702,미참여,0.428,30
2025-01,수원시 영통구,매탄동,신선식품,30대,818552,32,25579,미참여,0.34,20
2025-01,수원시 영통구,매탄동,신선식품,40대,1351478,55,24572,미참여,0.421,16
2025-01,수원시 영통구,매탄동,신선식품,50대,1143581,43,26594,미참여,0.512,12
2025-01,수원시 영통구,매탄동,신선식품,60대 이상,907084,31,29260,미참여,0.212,24
2025-01,수원시 영통구,매탄동,생활용품,20대,466285,19,24541,미참여,0.356,21
2025-01,수원시 영통구,매탄동,생활용품,30대,860564,41,20989,미참여,0.421,9
2025-01,수원시 영통구,매탄동,생활용품,40대,572326,21,27253,미참여,0.205,26
2025-01,수원시 영통구,매탄동,생활용품,50대,418170,20,20908,미참여,0.368,26
2025-01,수원시 영통구,매탄동,생활용품,60대 이상,977369,39,25060,미참여,0.366,15
2025-01,수원시 영통구,매탄동,의류/잡화,20대,840322,23,36535,미참여,0.389,24
2025-01,수원시 영통구,매탄동,의류/잡화,30대,710334,19,37386,미참여,0.352,12
2025-01,수원시 영통구,매탄동,의류/잡화,40대,733642,18,40757,미참여,0.292,12
2025-01,수원시 영통구,매탄동,의류/잡화,50대,592342,16,37021,미참여,0.379,16
2025-01,수원시 영통구,매탄동,의류/잡화,60대 이상,770605,19,40558,미참여,0.429,17
2025-01,수원시 영통구,매탄동,미용/생활서비스,20대,600864,18,33381,미참여,0.312,26
2025-01,수원시 영통구,매탄동,미용/생활서비스,30대,560228,16,35014,미참여,0.519,25
2025-01,수원시 영통구,매탄동,미용/생활서비스,40대,1052579,33,31896,미참여,0.394,12
2025-01,수원시 영통구,매탄동,미용/생활서비스,50대,1163959,32,36373,미참여,0.32,15
2025-01,수원시 영통구,매탄동,미용/생활서비스,60대 이상,519179,19,27325,미참여,0.536,10
2025-01,수원시 영통구,매탄동,교육/학원,20대,1609686,18,89427,미참여,0.343,28
